ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
zai	3	17	1	6	30	8	VSO	VSO
zam	0	6	1	2	2	1	SVO	_
zao	2	18	0	2	8	4	SVO	_
zar	6	20	3	3	12	6	SVO	_
zas	3	30	0	4	21	10	SVO	_
zat	11	29	1	1	8	8	SVO	_
zav	3	24	1	4	14	4	SVO	_
zaw	4	20	1	5	12	5	SVO	VSO
zca	0	6	0	1	13	1	VSO	_
zia	42	10	12	13	3	8	SOV	_
zlm	12	254	24	15	49	13	SVO	_
zom	49	5	20	16	3	0	SOV	_
zos	7	23	1	3	5	2	SVO	_
zpc	6	10	2	3	13	3	VSO	_
zpi	1	6	2	3	27	4	VSO	_
zpl	6	27	0	1	18	5	SVO	_
zpm	1	7	1	0	5	2	SVO	_
zpo	2	14	0	3	9	2	SVO	_
zpq	3	18	6	1	6	6	SVO	VSO
zpu	4	12	1	2	14	4	VSO	_
zpv	4	13	1	5	11	10	SVO	_
zpz	1	13	4	5	12	4	SVO	_
zsr	2	12	0	2	4	18	VOS	_
ztq	4	31	5	9	15	6	SVO	_
zty	4	16	4	0	8	8	SVO	_
zul	1	26	2	1	5	2	SVO	SVO
