ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
hin	194	14	18	14	2	1	SOV	SOV
hix	0	0	0	0	0	0	SOV	OVS
hla	8	61	1	4	3	6	SVO	SVO
hlt	46	9	29	20	3	1	SOV	_
hmo	30	8	28	0	0	0	SOV	_
hnn	6	34	5	13	65	9	VSO	_
hns	124	13	7	7	2	0	SOV	_
hop	132	11	5	0	3	1	SOV	SOV
hot	26	52	7	2	8	8	SVO	_
hrv	122	213	49	19	39	31	SVO	SVO
hto	30	6	5	2	1	0	SOV	SOV
hub	10	5	4	2	3	7	SOV	_
hui	73	7	13	14	4	3	SOV	_
hun	17	57	11	4	15	23	SVO	No dominant order
hus	26	72	16	6	10	18	SVO	_
huu	19	1	5	2	1	0	SOV	SOV
huv	9	33	0	1	8	6	SVO	SVO
hva	10	31	4	2	6	5	SVO	_
hvn	2	12	2	4	19	5	VSO	_
hwc	2	73	5	1	1	2	SVO	_
hye	83	165	14	13	10	5	SVO	No dominant order
ian	25	2	8	10	1	1	SOV	SOV
iba	1	131	1	9	2	1	SVO	SVO
ibo	12	161	13	0	2	3	SVO	SVO
ifb	3	29	5	8	25	10	SVO	_
ifk	9	27	11	7	22	14	SVO	_
ifu	2	28	1	6	37	7	VSO	_
ify	4	17	10	8	49	13	VSO	_
ign	2	12	5	6	4	5	SVO	_
ike	13	1	2	0	0	0	SOV	_
ilo	3	22	1	4	30	10	VSO	VSO
imo	32	8	6	14	3	3	SOV	_
inb	3	1	7	16	2	1	OVS	_
ind	75	1578	60	48	84	49	SVO	SVO
ino	28	10	10	16	5	5	SOV	_
iou	26	10	9	7	6	4	SOV	_
ipi	10	2	1	1	0	0	SOV	_
irk	61	7	17	3	0	2	SOV	SOV
iry	5	62	8	16	23	8	SVO	_
isl	20	183	10	2	38	4	SVO	SVO
ita	137	283	24	5	9	17	SVO	SVO
itv	3	17	1	6	68	6	VSO	_
iws	30	11	2	0	2	1	SOV	_
ixi	2	15	3	4	17	4	VSO	VSO
ixl	7	33	5	2	25	9	SVO	_
izr	43	70	4	0	11	3	SVO	_
jac	10	22	7	3	9	9	SVO	VSO
jae	23	108	5	2	1	11	SVO	SVO
jam	10	85	7	2	3	2	SVO	_
jav	3	37	2	8	3	2	SVO	_
jbu	11	37	8	4	5	5	SVO	SVO
jic	6	9	2	4	3	2	SVO	_
jiv	35	5	4	8	3	2	SOV	SOV
jmc	4	48	6	1	9	3	SVO	_
jpn	48	5	5	9	0	0	SOV	SOV
jvn	5	69	6	3	2	1	SVO	_
kaa	114	2	8	7	0	0	SOV	SOV
kac	17	2	8	15	0	0	SOV	SOV
kal	40	7	6	4	0	0	SOV	SOV
kan	63	6	11	10	2	1	SOV	SOV
kao	93	13	4	3	0	1	SOV	SOV
kaq	22	9	7	12	6	2	SOV	_
kaz	81	4	4	10	2	1	SOV	_
kbc	3	20	1	4	4	3	SVO	SVO
kbh	23	6	3	1	4	2	SOV	No dominant order
kbm	13	26	1	0	4	1	SVO	_
kbp	5	24	9	2	3	4	SVO	SVO
kbr	28	3	10	25	3	3	SOV	_
kdl	5	63	7	0	4	4	SVO	_
kek	5	40	4	3	2	8	SVO	_
ken	12	60	5	2	9	6	SVO	_
kew	78	4	12	13	4	3	SOV	SOV
kez	10	27	5	3	4	2	SVO	_
kgf	93	21	14	21	9	5	SOV	_
kgk	4	5	3	0	1	3	SVO	_
kgp	15	2	2	3	0	0	SOV	SOV
khk	179	9	31	16	3	2	SOV	SOV
khz	44	7	10	2	0	3	SOV	_
kia	6	87	5	0	2	2	SVO	_
kik	3	80	2	1	6	2	SVO	SVO
kin	8	33	4	0	3	4	SVO	SVO
kir	87	5	14	18	0	0	SOV	_
kjb	1	9	2	7	10	1	VSO	_
kjh	54	3	8	8	0	4	SOV	_
kjs	62	12	6	14	5	9	SOV	_
kki	5	38	1	1	3	6	SVO	_
kkj	6	49	2	2	3	4	SVO	_
kma	7	67	5	0	2	3	SVO	SVO
kmh	14	4	8	5	0	1	SOV	_
kmo	62	6	3	4	1	0	SOV	SOV
kmr	117	21	16	8	3	1	SOV	SOV
kms	27	9	7	9	7	2	SOV	SOV
kmu	26	8	12	12	6	1	SOV	_
kne	4	29	1	3	27	6	SVO	_
kng	10	89	6	1	1	4	SVO	SVO
knj	0	2	0	4	3	7	VOS	_
knk	57	12	3	1	3	1	SOV	_
kno	8	3	1	0	0	0	SOV	_
knv	95	13	4	5	3	0	SOV	_
kor	173	33	8	18	4	3	SOV	SOV
kpf	46	7	5	8	4	3	SOV	_
kpg	8	81	2	4	4	1	SVO	_
kpj	15	5	2	1	2	1	SOV	SOV
kpr	11	1	0	1	0	0	SOV	_
kpv	15	100	12	4	1	4	SVO	SVO
kpw	15	5	5	8	0	2	SOV	SOV
kpx	51	16	6	3	5	1	SOV	SOV
kpz	15	26	5	3	78	13	VSO	VSO
kqp	10	62	3	5	3	5	SVO	_
kqy	82	11	50	40	3	7	SOV	_
krc	83	2	6	9	2	0	SOV	SOV
kri	9	66	7	1	3	4	SVO	_
krj	5	29	6	6	87	16	VSO	_
ksd	3	130	6	1	2	0	SVO	SVO
ksr	50	17	5	6	0	1	SOV	_
kss	6	32	1	1	2	1	SVO	_
ktb	89	14	13	15	3	2	SOV	_
kto	4	17	1	2	9	1	SVO	VSO
kua	71	147	11	2	0	5	SVO	_
kub	11	63	7	0	3	4	SVO	_
kud	21	9	5	4	6	4	SOV	_
kue	97	27	12	21	4	6	SOV	SOV
kum	89	1	12	11	4	1	SOV	_
kup	29	9	8	8	1	2	SOV	SOV
kus	17	101	4	0	5	4	SVO	_
kvn	10	5	1	0	1	0	SOV	SOV
kwf	4	46	5	1	0	4	SVO	_
kwi	46	5	1	1	0	0	SOV	SOV
kwj	37	13	21	8	2	3	SOV	_
kxc	131	14	15	26	5	2	SOV	_
kyc	63	20	9	22	6	5	SOV	SOV
kyg	37	14	10	15	3	4	SOV	_
kyq	15	42	3	0	4	7	SVO	SVO
kyz	1	0	0	1	0	0	SOV	SOV
kze	32	18	2	13	8	5	SOV	_
kzf	4	37	1	7	10	5	SVO	_
lac	2	12	2	4	3	1	SVO	No dominant order
laj	6	108	8	0	10	2	SVO	SVO
las	5	40	2	2	1	2	SVO	_
lat	30	124	8	11	25	30	SVO	_
lav	192	298	41	9	7	1	SVO	SVO
lcl	3	0	4	2	0	0	OSV	_
lcm	11	114	9	2	8	6	SVO	SVO
ldi	3	18	7	0	1	1	SVO	_
lee	10	64	2	0	2	9	SVO	_
lef	20	36	7	3	6	5	SVO	SVO
leh	7	53	4	1	3	7	SVO	_
lem	32	47	3	1	2	5	SVO	_
leu	10	105	10	0	4	6	SVO	_
lew	4	32	1	2	3	8	SVO	_
lhu	35	5	12	4	0	0	SOV	SOV
lia	14	57	3	2	13	5	SVO	_
lid	3	36	2	0	0	3	SVO	_
lip	26	24	1	6	7	7	SOV	_
lit	52	167	12	10	3	1	SVO	SVO
ljp	8	98	7	2	4	3	SVO	SVO
lsm	6	52	13	0	2	2	SVO	_
luo	10	60	16	3	6	18	SVO	SVO
lus	45	14	29	9	2	1	SOV	SOV
lwo	9	21	6	5	9	6	SVO	_
maa	6	30	8	1	1	5	SVO	_
mad	8	64	7	10	4	2	SVO	_
mah	9	216	12	0	1	5	SVO	_
mai	47	6	4	7	2	4	SOV	_
maj	5	27	5	12	20	12	SVO	_
mak	1	12	3	0	22	6	VSO	_
mam	13	74	11	19	64	28	SVO	_
maq	2	4	3	1	10	5	VSO	_
mar	22	4	4	2	0	0	SOV	SOV
mau	7	58	6	1	1	2	SVO	No dominant order
mav	3	9	4	7	8	11	VOS	_
maw	3	52	2	2	3	1	SVO	_
maz	5	12	0	2	2	2	SVO	_
mbb	5	11	1	6	31	8	VSO	VSO
mbc	12	2	3	11	3	3	SOV	No dominant order
mbf	4	206	19	1	5	2	SVO	_
mbh	8	42	4	0	2	0	SVO	_
mbj	3	9	3	1	5	2	SVO	OSV
mbl	3	0	0	4	1	0	OVS	SOV
mbt	4	25	3	7	59	21	VSO	_
mcb	7	12	3	4	5	1	SVO	_
mcd	18	4	7	5	2	1	SOV	SOV
mck	6	67	7	3	3	12	SVO	_
mcn	15	107	5	2	3	1	SVO	SVO
mco	16	25	10	1	5	0	SVO	_
mcq	111	38	16	8	10	0	SOV	_
mcu	21	34	3	2	2	0	SVO	SVO
mda	10	31	4	2	3	4	SVO	_
mdy	117	12	41	24	5	4	SOV	_
med	1	0	0	0	0	0	SOV	_
mee	5	62	9	2	3	6	SVO	_
mej	3	30	1	0	1	2	SVO	SVO
mek	31	1	4	5	1	0	SOV	_
men	56	23	8	5	3	5	SOV	SOV
meq	5	16	2	0	0	3	SVO	_
meu	75	13	18	4	0	1	SOV	SOV
mfe	11	139	8	0	0	2	SVO	_
